case,label,photographiqml,independent_pattern,error
zero_angles_zero_outcomes,"(0,)",0.8271510787751981,0.8271510787751981,0.0
zero_angles_zero_outcomes,"(1,)",0.17284892122480164,0.17284892122480164,0.0
zero_angles_uniform_outcomes,"(0,)",0.8263488451092271,0.8263488451092271,0.0
zero_angles_uniform_outcomes,"(1,)",0.17365115489077249,0.17365115489077249,0.0
zero_angles_mixed_outcomes,"(0,)",0.8244806089947071,0.8244806089947071,0.0
zero_angles_mixed_outcomes,"(1,)",0.17551939100529299,0.17551939100529299,0.0
pi_first_angle,"(0,)",0.8271510787751981,0.8271510787751981,0.0
pi_first_angle,"(1,)",0.17284892122480164,0.17284892122480164,0.0
