n_wires,graph_vertices,graph_edges,n_parameters,photographiqml_median_seconds,photographiqml_iqr_seconds,photographiqml_min_seconds,photographiqml_max_seconds,mentpy_median_seconds,mentpy_iqr_seconds,mentpy_min_seconds,mentpy_max_seconds
1,5,4,4,6.520003080368042e-05,5.700043402612209e-06,5.870009772479534e-05,7.11000757291913e-05,0.0009822999127209187,8.699996396899223e-05,0.0009359999094158411,0.0011233000550419092
2,10,10,8,0.00017370004206895828,1.7149955965578556e-05,0.000170299899764359,0.0002234999556094408,0.0032984999706968665,0.00021795002976432443,0.0028726999880746007,0.003613900044001639
3,15,16,12,0.00018599990289658308,2.949964255094528e-06,0.00018089998047798872,0.00019449996761977673,0.014754700008779764,0.0015117499860934913,0.01295959996059537,0.01907999999821186
