phi,unitary_error,actual_concurrence,expected_concurrence,concurrence_error
-6.283185307179586,8.963386366787815e-16,2.449293598294703e-16,2.4492935982947064e-16,3.4512664603419266e-31
-6.073745796940266,1.5796224118850573e-15,0.20791169081775956,0.20791169081775987,3.0531133177191805e-16
-5.8643062867009474,1.4555830304263767e-15,0.40673664307579965,0.40673664307580015,4.996003610813204e-16
-5.654866776461628,1.4288463334429379e-15,0.5877852522924725,0.5877852522924734,8.881784197001252e-16
-5.445427266222308,1.6662523785707122e-15,0.7431448254773934,0.7431448254773946,1.2212453270876722e-15
-5.235987755982989,1.3258666500193863e-15,0.8660254037844374,0.8660254037844386,1.2212453270876722e-15
-5.026548245743669,1.6846646923614147e-15,0.9510565162951522,0.9510565162951536,1.4432899320127035e-15
-4.81710873550435,1.824845579060955e-15,0.9945218953682715,0.9945218953682733,1.7763568394002505e-15
-4.60766922526503,1.4246721996831467e-15,0.9945218953682718,0.9945218953682734,1.5543122344752192e-15
-4.39822971502571,1.8853359599748274e-15,0.9510565162951518,0.9510565162951535,1.7763568394002505e-15
-4.188790204786391,1.1338533433390753e-15,0.8660254037844378,0.8660254037844388,9.992007221626409e-16
-3.9793506945470716,1.30574013190449e-15,0.7431448254773932,0.7431448254773944,1.1102230246251565e-15
-3.7699111843077517,1.5922183010089669e-15,0.587785252292472,0.587785252292473,9.992007221626409e-16
-3.5604716740684323,1.369972684928498e-15,0.40673664307579965,0.4067366430758002,5.551115123125783e-16
-3.351032163829113,1.1944311864784375e-15,0.2079116908177592,0.2079116908177595,3.0531133177191805e-16
-3.141592653589793,1.3419542341972858e-15,1.8154290278549168e-16,1.2246467991473532e-16,5.907822287075636e-17
-2.9321531433504737,1.3930965225278799e-15,0.207911690817759,0.20791169081775931,3.0531133177191805e-16
-2.7227136331111543,1.3666530711300262e-15,0.4067366430757995,0.40673664307580004,5.551115123125783e-16
-2.5132741228718345,1.560808821728333e-15,0.5877852522924722,0.5877852522924732,9.992007221626409e-16
-2.303834612632515,1.30574013190449e-15,0.7431448254773932,0.7431448254773942,9.992007221626409e-16
-2.0943951023931957,1.550817473124333e-15,0.8660254037844374,0.8660254037844386,1.2212453270876722e-15
-1.8849555921538759,1.65611523386797e-15,0.9510565162951521,0.9510565162951536,1.5543122344752192e-15
-1.675516081914557,1.91063762397906e-15,0.9945218953682715,0.9945218953682733,1.7763568394002505e-15
-1.466076571675237,1.5870901901349635e-15,0.9945218953682718,0.9945218953682734,1.5543122344752192e-15
-1.2566370614359172,1.5877186584077645e-15,0.9510565162951521,0.9510565162951535,1.4432899320127035e-15
-1.0471975511965983,1.6558344856151631e-15,0.8660254037844376,0.8660254037844389,1.3322676295501878e-15
-0.8377580409572785,1.2697998513258984e-15,0.7431448254773935,0.7431448254773944,8.881784197001252e-16
-0.6283185307179586,1.654852658152735e-15,0.5877852522924721,0.5877852522924731,9.992007221626409e-16
-0.4188790204786397,1.3742780924474487e-15,0.40673664307580015,0.4067366430758007,5.551115123125783e-16
-0.20943951023931984,1.3403256465490274e-15,0.20791169081775931,0.20791169081775962,3.0531133177191805e-16
0.0,1.3363545820078613e-15,9.30123083498293e-34,0.0,9.30123083498293e-34
0.20943951023931895,1.1202175202199198e-15,0.2079116908177585,0.20791169081775876,2.498001805406602e-16
0.4188790204786388,1.3817716817789972e-15,0.4067366430757993,0.40673664307579993,6.106226635438361e-16
0.6283185307179586,1.654852658152735e-15,0.5877852522924721,0.5877852522924731,9.992007221626409e-16
0.8377580409572776,1.3265916728458816e-15,0.7431448254773927,0.7431448254773938,1.1102230246251565e-15
1.0471975511965974,1.6515628107742992e-15,0.8660254037844372,0.8660254037844385,1.3322676295501878e-15
1.2566370614359172,1.5877186584077645e-15,0.9510565162951521,0.9510565162951535,1.4432899320127035e-15
1.4660765716752362,1.6708341147613952e-15,0.9945218953682716,0.9945218953682733,1.6653345369377348e-15
1.675516081914556,1.4233120549828496e-15,0.9945218953682718,0.9945218953682734,1.5543122344752192e-15
1.8849555921538759,1.65611523386797e-15,0.9510565162951521,0.9510565162951536,1.5543122344752192e-15
2.094395102393195,1.6052839651142925e-15,0.8660254037844376,0.866025403784439,1.4432899320127035e-15
2.3038346126325138,1.397046446027396e-15,0.743144825477394,0.743144825477395,9.992007221626409e-16
2.5132741228718345,1.560808821728333e-15,0.5877852522924722,0.5877852522924732,9.992007221626409e-16
2.7227136331111534,1.3301431694949403e-15,0.4067366430758003,0.4067366430758008,4.996003610813204e-16
2.9321531433504724,1.3342662237786672e-15,0.20791169081776034,0.20791169081776062,2.7755575615628914e-16
3.141592653589793,1.3419542341972858e-15,1.8154290278549168e-16,1.2246467991473532e-16,5.907822287075636e-17
3.351032163829112,9.104399446422562e-16,0.20791169081775834,0.20791169081775862,2.7755575615628914e-16
3.560471674068431,1.2665563223156453e-15,0.4067366430757984,0.406736643075799,6.106226635438361e-16
3.7699111843077517,1.5922183010089669e-15,0.587785252292472,0.587785252292473,9.992007221626409e-16
3.9793506945470707,1.3744319844082993e-15,0.7431448254773926,0.7431448254773937,1.1102230246251565e-15
4.18879020478639,1.5030946018499915e-15,0.8660254037844368,0.8660254037844379,1.1102230246251565e-15
4.39822971502571,1.8853359599748274e-15,0.9510565162951518,0.9510565162951535,1.7763568394002505e-15
4.607669225265029,1.8055671689320977e-15,0.9945218953682716,0.9945218953682733,1.6653345369377348e-15
4.817108735504348,1.0042169453711692e-15,0.9945218953682725,0.9945218953682735,9.992007221626409e-16
5.026548245743669,1.6846646923614147e-15,0.9510565162951522,0.9510565162951536,1.4432899320127035e-15
5.235987755982988,1.63570908837901e-15,0.8660254037844377,0.866025403784439,1.3322676295501878e-15
5.445427266222307,1.4950704532467957e-15,0.743144825477394,0.7431448254773951,1.1102230246251565e-15
5.654866776461628,1.4288463334429379e-15,0.5877852522924725,0.5877852522924734,8.881784197001252e-16
5.864306286700947,1.3799413716217989e-15,0.4067366430758004,0.40673664307580093,5.551115123125783e-16
6.0737457969402655,1.351059825434003e-15,0.20791169081776045,0.20791169081776073,2.7755575615628914e-16
6.283185307179586,8.963386366787815e-16,2.449293598294703e-16,2.4492935982947064e-16,3.4512664603419266e-31
