n_samples,symmetry_error,diagonal_error,minimum_eigenvalue,maximum_eigenvalue,condition_number
2,0.0,2.220446049250313e-15,0.1334808072500257,1.8665191927499718,13.98342751444225
4,0.0,3.552713678800501e-15,0.0001401137831491383,3.886102195738823,27735.33130286278
8,2.220446049250313e-16,3.9968028886505635e-15,-2.493161743530866e-15,7.558978460664632,3.4042612578750844e+16
16,4.440892098500626e-16,4.440892098500626e-15,-1.8129824788842052e-15,15.100251078601463,6.800548513079048e+16
32,4.440892098500626e-16,4.440892098500626e-15,-3.658182572448428e-15,29.1018355366341,1.3106301567858278e+17
64,4.440892098500626e-16,4.440892098500626e-15,-1.2198544144939099e-14,58.604606220279706,2.6393168273584634e+17
