dataset,regime,seed,method,rmse,mae,r2,mean_residual,residual_std,preprocessing_fit_scope
sine_interpolation,held_out_interpolation,3,mean,0.730331749985885,0.6541441340947705,-0.01231431749148637,-0.08055039323563136,0.7258760907944485,training_only
sine_interpolation,held_out_interpolation,3,linear,0.40039576428155643,0.33855610374327944,0.6957336212927538,-0.12425624468980033,0.38062731603262545,training_only
sine_interpolation,held_out_interpolation,3,rbf_svr,0.07750658868467787,0.07179339707432436,0.9885987554305209,-0.01712452128832661,0.0755911506737494,training_only
sine_interpolation,held_out_interpolation,3,muta_regressor,0.3034563063644742,0.23580240205194777,0.8252298128332085,-0.06951593834650138,0.2953866350872616,training_only
sine_interpolation,held_out_interpolation,17,mean,0.7005969156558736,0.6030769757604127,-0.019234056730528915,0.09624245750382993,0.6939549175559943,training_only
sine_interpolation,held_out_interpolation,17,linear,0.5245020891514588,0.4606961733750037,0.4287424808815158,0.13384287767075626,0.5071375805647377,training_only
sine_interpolation,held_out_interpolation,17,rbf_svr,0.08547803003003038,0.08070098034612103,0.9848278721394043,0.02358077780528548,0.08216106459821788,training_only
sine_interpolation,held_out_interpolation,17,muta_regressor,0.42470000301522226,0.33672125243650897,0.6254567170369455,0.10288037276079731,0.41205062973101886,training_only
sine_interpolation,held_out_interpolation,37,mean,0.6682501972747259,0.5896396692535619,-0.00013517111514183,-0.007768759801615959,0.6682050377906881,training_only
sine_interpolation,held_out_interpolation,37,linear,0.5637687311237667,0.5001682213493058,0.2881598534641455,0.043848512646421894,0.5620609309777708,training_only
sine_interpolation,held_out_interpolation,37,rbf_svr,0.07361017237342456,0.06961612365021431,0.9878645418115642,0.002550512673614368,0.07356597285394254,training_only
sine_interpolation,held_out_interpolation,37,muta_regressor,0.4840474123467545,0.4058234275891737,0.47524532738063585,0.057129503850063115,0.4806642457989096,training_only
sine_interpolation,held_out_interpolation,67,mean,0.7215309097352343,0.6619509861209367,-0.04804693261496484,-0.1544889453721724,0.7047978571627106,training_only
sine_interpolation,held_out_interpolation,67,linear,0.5005925073560141,0.473056976302303,0.49552512661891424,-0.15154421554144742,0.4771029335027279,training_only
sine_interpolation,held_out_interpolation,67,rbf_svr,0.0766425600401682,0.07000560242053816,0.9881747357181271,-0.025007331424779188,0.07244801849962522,training_only
sine_interpolation,held_out_interpolation,67,muta_regressor,0.42355795324856327,0.369221002772854,0.6388425882119941,-0.11520117039954317,0.40759051767513865,training_only
sine_extrapolation,extrapolation,3,mean,0.7216911917016501,0.6562595931895613,0.0,-1.6653345369377348e-16,0.7216911917016501,training_only
sine_extrapolation,extrapolation,3,linear,1.8808119221997062,1.8301941919828022,-5.791847542042949,-2.220446049250313e-16,1.8808119221997062,training_only
sine_extrapolation,extrapolation,3,rbf_svr,0.5405725938642663,0.4964163463014768,0.43894525670043727,-0.0002128936483781374,0.5405725519423229,training_only
sine_extrapolation,extrapolation,3,muta_regressor,1.391282856711571,1.3741119974635736,-2.7164479792500575,0.104756329487388,1.387333449035177,training_only
