n_wires,seed,n_measured,n_branches,max_branch_error,probability_sum_error,min_branch_probability
1,0,4,16,7.132486526673724e-16,1.887379141862766e-15,0.06249999999999987
1,1,4,16,6.803332117171786e-16,1.9984014443252818e-15,0.062499999999999854
1,2,4,16,2.0530023947760818e-16,8.881784197001252e-16,0.062499999999999924
2,0,8,256,1.4392217307494033e-15,4.440892098500626e-16,0.003906249999999986
2,1,8,256,1.1461432100273835e-15,4.440892098500626e-16,0.003906249999999987
2,2,8,256,1.021342635280094e-15,4.440892098500626e-16,0.003906249999999986
