n_wires,total_variation_distance,observable_differences,marginal_leakage,finite_state_fidelity_is_none,min_retained_norm,max_retained_norm,certified
1,0.17284892122480144,[-0.3456978424496029],[0.00021750138882559167],True,0.9999814752633127,1.0000000000000002,False
2,0.3421815008929193,"[-0.36628487040770086, -0.39305505531539187]","[0.004511654025304734, 0.004815317856983969]",True,0.9998517967776349,1.0000000000000002,False
