n_qubits,sample,production,independent,error
1,0,0.4898272893885709,0.48982728938857,8.881784197001252e-16
1,1,21.081978750767973,21.081978750767973,0.0
1,2,2.21060576061997,2.21060576061997,0.0
1,3,24.74092412386919,24.74092412386919,0.0
1,4,19.15373526218734,19.153735262187336,3.552713678800501e-15
1,5,27.902356898339537,27.902356898339523,1.4210854715202004e-14
1,6,6.62344879633655,6.623448796336557,7.105427357601002e-15
1,7,24.966402894800467,24.966402894800446,2.1316282072803006e-14
1,8,106.98180378986324,106.98180378986325,1.4210854715202004e-14
1,9,1.1496848310728875,1.149684831072891,3.552713678800501e-15
2,0,52.853281519090146,52.85328151909014,7.105427357601002e-15
2,1,38.07172826616799,38.07172826616796,2.842170943040401e-14
2,2,59.01886839922069,59.0188683992207,7.105427357601002e-15
2,3,91.33453463806346,91.33453463806347,1.4210854715202004e-14
2,4,40.62079257789729,40.62079257789726,2.842170943040401e-14
2,5,124.82564983026462,124.82564983026465,2.842170943040401e-14
2,6,46.60109785902938,46.60109785902938,0.0
2,7,20.32350073655576,20.323500736555758,3.552713678800501e-15
2,8,25.532638965979015,25.532638965979025,1.0658141036401503e-14
2,9,51.70499794042586,51.704997940425834,2.842170943040401e-14
3,0,62.85451677006513,62.85451677006513,0.0
3,1,162.19047962504223,162.19047962504223,0.0
3,2,79.85338101613488,79.8533810161349,2.842170943040401e-14
3,3,97.23158318876794,97.23158318876794,0.0
3,4,119.79507609950385,119.79507609950385,0.0
3,5,101.49549940474131,101.49549940474131,0.0
3,6,109.83467196890315,109.83467196890311,4.263256414560601e-14
3,7,323.47634477402113,323.47634477402113,0.0
3,8,74.60868490352246,74.60868490352247,1.4210854715202004e-14
3,9,91.31021232867533,91.31021232867533,0.0
