axis,value,total_variation_distance,observable_error,finite_state_fidelity,captured_weight,runtime_seconds,supported,reason
cutoff,20,0.1730384132198664,0.3460768264397328,,0.9998800964574989,,True,
cutoff,24,0.17284892122480128,0.34569784244960255,,0.9999814752633133,,True,
cutoff,28,0.1727673451909123,0.3455346903818246,,0.9999958216198981,,True,
shots,2,0.4139210746500711,0.8278421493001422,,,7.215454400051385,True,
shots,8,0.38868462205412707,0.7773692441082541,,,27.774001299985684,True,
decoder,soft adaptive flow,,,,,,False,soft ensemble posterior is not calibrated for adaptive node states
