family,locality,depth,seed,operator_rmse,mean_state_fidelity,success,n_parameters,runtime_seconds,optimizer_success
rx,local,1,2,2.142640388954505e-09,0.9999999999999997,True,4,0.10403160005807877,False
rx,local,1,7,8.597631107595329e-10,0.999999999999999,True,4,0.11379770003259182,False
rx,local,1,19,1.734244657572183e-09,0.9999999999999988,True,4,0.10819830000400543,False
rx,local,1,31,2.1257386715936993e-09,0.999999999999999,True,4,0.09000129997730255,True
rz,local,1,2,2.98420758851071e-09,0.9999999999999997,True,4,0.0689966999925673,True
rz,local,1,7,2.930563614577607e-09,0.999999999999999,True,4,0.0843348999042064,True
rz,local,1,19,2.5745183257837356e-09,0.9999999999999997,True,4,0.10557909996714443,False
rz,local,1,31,2.555360176326409e-09,0.9999999999999992,True,4,0.08650370000395924,True
haar_local,local,1,2,0.2654547144092201,0.9999999998783625,False,8,0.12100389995612204,True
haar_local,local,1,7,0.0002037833268522381,0.9999999999999901,True,8,0.22839780000504106,True
haar_local,local,1,19,0.09947304073182486,0.9999999999893755,True,8,0.14232119999360293,True
haar_local,local,1,31,0.5650942775284805,0.9999999862249606,False,8,0.13050710002426058,True
ising_xx,nonlocal,1,2,3.5991550186229643e-09,0.9999999999999987,True,8,0.5757893000263721,True
ising_xx,nonlocal,1,7,2.9056683091950355e-09,0.9999999999999983,True,8,0.7446374000282958,True
ising_xx,nonlocal,1,19,2.484587525565406e-09,0.999999999999999,True,8,0.7580151000292972,False
ising_xx,nonlocal,1,31,3.1726024024419173e-09,0.9999999999999987,True,8,0.8406575999688357,True
rx,local,2,2,2.4723247565184147e-09,0.9999999999999986,True,8,0.41074780002236366,False
rx,local,2,7,1.039378374908034e-09,0.9999999999999978,True,8,0.2586583000374958,False
rx,local,2,19,1.4766973598037126e-09,0.9999999999999983,True,8,0.3975280999438837,False
rx,local,2,31,1.5608960948616079e-09,0.9999999999999987,True,8,0.26015740004368126,False
rz,local,2,2,2.5038134658669323e-09,0.9999999999999986,True,8,0.2057661999715492,True
rz,local,2,7,2.5428213976658793e-09,0.9999999999999981,True,8,0.2840545999351889,False
rz,local,2,19,2.7193917641134576e-09,0.9999999999999986,True,8,0.19804070005193353,True
rz,local,2,31,1.491012259652226e-09,0.999999999999999,True,8,0.2534170999424532,False
haar_local,local,2,2,0.49755680768280125,0.9999999893065782,False,16,0.5874173999764025,True
haar_local,local,2,7,0.319713787620789,0.9999999988787082,False,16,0.5534600999671966,True
haar_local,local,2,19,0.5724797975721427,0.9999999840243304,False,16,0.4874472999945283,True
haar_local,local,2,31,0.5116637961137993,0.9999999945869545,False,16,0.5184957999736071,True
ising_xx,nonlocal,2,2,0.00016345572235086262,0.999999907666798,True,16,1.6316248999210075,False
ising_xx,nonlocal,2,7,1.744680832964616e-08,0.9999999999999959,True,16,1.9839759999886155,False
ising_xx,nonlocal,2,19,5.1234580735853494e-08,0.9999999999999899,True,16,2.4230244000209495,False
ising_xx,nonlocal,2,31,1.1287328110287007e-08,0.9999999999999968,True,16,3.3575219999765977,True
