split,accuracy,majority_baseline_accuracy,final_train_loss
0,1.0,0.5555555555555556,0.06520910154011592
1,1.0,0.5555555555555556,0.07728795990437937
2,0.9444444444444444,0.5555555555555556,0.074669421068585
3,0.9444444444444444,0.5555555555555556,0.05386759697369269
4,1.0,0.5555555555555556,0.08621089186002484
