pipeline,median_seconds,iqr_seconds,min_seconds,max_seconds
photographiqml_full_run,0.4743003999974462,0.005491999996593222,0.45711689999734517,0.47844639999675564
photographiqml_lowering_only,0.09552189999521943,0.004953199997544289,0.0902085999987321,0.1302016999979969
photographiq_direct_simulate,0.16569819999858737,0.0031167999986791983,0.16335189999517752,0.18339730000298005
raw_piquasso_independent_construct_and_simulate,0.2881852999998955,0.012695899997197557,0.2744012999974075,0.3087652000031085
