objective,optimizer,epochs,final_loss,threshold,distance_to_analytic_minimizer,final_gradient_norm,passed
quadratic_bowl,adam,300,7.35625091214107e-13,1e-06,8.576858930949646e-07,1.7153717861899292e-06,True
quadratic_bowl,sgd,300,4.930380657631324e-31,1e-06,7.021666937153402e-16,1.4043333874306805e-15,True
quadratic_bowl,lbfgs,100,1.8242408433235898e-30,1e-06,1.3506446028928519e-15,2.7012892057857038e-15,True
rosenbrock,adam,3000,3.703662242507643,5.0,2.122503429088275,0.03950936898863361,True
rosenbrock,sgd,3000,0.015668074643020745,5.0,0.2405939689984109,0.13663076405737373,True
rosenbrock,lbfgs,200,2.6414007826384185e-12,0.5,2.590441316401153e-07,7.212939035103466e-05,True
