trial,step,fd_error
0,0.1,0.004267724308775915
0,0.03162277660168379,0.0004269645242019607
0,0.01,4.2698373842700655e-05
0,0.0031622776601683794,4.269856653709065e-06
0,0.001,4.269858484902671e-07
0,0.00031622776601683794,4.269934596933785e-08
0,0.0001,4.2700152543345185e-09
0,3.1622776601683795e-05,4.376769286122954e-10
0,1e-05,1.1986013037949157e-10
0,3.162277660168379e-06,2.1075562933295703e-10
0,1e-06,7.478076549840223e-10
0,3.162277660168379e-07,2.7782143607171867e-09
0,1e-07,8.120336726955703e-09
0,3.162277660168379e-08,2.091332157748043e-08
0,1e-08,5.665619347458106e-08
1,0.1,0.001567464973927294
1,0.03162277660168379,0.0001568170501189748
1,0.01,1.5682410703565845e-05
1,0.0031622776601683794,1.568248117552495e-06
1,0.001,1.568251727976846e-07
1,0.00031622776601683794,1.568356207989447e-08
1,0.0001,1.5617585989650525e-09
1,3.1622776601683795e-05,1.6744206226983095e-10
1,1e-05,8.305631694377265e-11
1,3.162277660168379e-06,2.445751161173732e-10
1,1e-06,5.209000182602252e-10
1,3.162277660168379e-07,1.4937103024703456e-09
1,1e-07,8.388782166049637e-09
1,3.162277660168379e-08,2.275645903707141e-08
1,1e-08,5.967030313633897e-08
2,0.1,0.004713706696501616
2,0.03162277660168379,0.0004715828369507335
2,0.01,4.716040595511543e-05
2,0.0031622776601683794,4.716061888985238e-06
2,0.001,4.7160596321564045e-07
2,0.00031622776601683794,4.716231608311907e-08
2,0.0001,4.717641073748682e-09
2,3.1622776601683795e-05,4.685984772386862e-10
2,1e-05,1.3261427816442016e-10
2,3.162277660168379e-06,1.5985955008034577e-10
2,1e-06,8.288891485290621e-10
2,3.162277660168379e-07,3.6398000849722345e-09
2,1e-07,6.8819576373659524e-09
2,3.162277660168379e-08,1.627861005691769e-08
2,1e-08,3.306672546684074e-08
3,0.1,0.002891074707569075
3,0.03162277660168379,0.00028923760009341335
3,0.01,2.892506164371131e-05
3,0.0031622776601683794,2.8925192227303083e-06
3,0.001,2.892518849339611e-07
3,0.00031622776601683794,2.892529749506446e-08
3,0.0001,2.8902017680745597e-09
3,3.1622776601683795e-05,2.951251469315043e-10
3,1e-05,6.774278926532252e-11
3,3.162277660168379e-06,1.5930166838008902e-10
3,1e-06,8.337775939743412e-10
3,3.162277660168379e-07,3.157854044451872e-09
3,1e-07,5.941882227260246e-09
3,3.162277660168379e-08,2.2661281715580614e-08
3,1e-08,5.0163146242514365e-08
4,0.1,0.003999501573054955
4,0.03162277660168379,0.0004001301777287796
4,0.01,4.001481844417883e-05
4,0.0031622776601683794,4.001499864318637e-06
4,0.001,4.001499688665448e-07
4,0.00031622776601683794,4.0016551401101506e-08
4,0.0001,3.99996441884237e-09
4,3.1622776601683795e-05,3.9194442398457346e-10
4,1e-05,1.1404265970162497e-10
4,3.162277660168379e-06,1.7469188148766595e-10
4,1e-06,9.205132476642342e-10
4,3.162277660168379e-07,3.6196940052489006e-09
4,1e-07,9.22627156748562e-09
4,3.162277660168379e-08,1.9119927795762703e-08
4,1e-08,6.084306351029921e-08
