label,joint_probability,product_of_marginals,difference
"(0, 0)",0.6578184991070793,0.656322567138274,0.0014959319688053752
"(0, 1)",0.15903906568906884,0.16053499765787405,-0.0014959319688052086
"(1, 0)",0.14565397323522333,0.1471499052040285,-0.0014959319688051809
"(1, 1)",0.03748846196862815,0.0359925299998229,0.0014959319688052503
