split,r_squared,mse,mean_residual
0,0.9999985856921942,1.4435348835744713e-07,0.00014701731951208697
1,0.9999990623185627,1.167242473454049e-07,-0.00016169082994842992
2,0.9999977211722795,2.0305773573647692e-07,-5.891035812565257e-05
3,0.9999991820303686,6.401601719210788e-08,0.00022084723657597496
4,0.9999872224572443,1.4165747779640959e-06,-0.0002665837848767193
